,property_id,check_in_date,room_category,successful_bookings,capacity
178,19563,2022-05-02,RT4,4,6
179,19558,2022-05-02,RT4,4,7
180,19561,2022-05-02,RT4,4,7
181,18561,2022-05-02,RT4,5,9
182,16561,2022-05-02,RT4,6,10
183,17560,2022-05-02,RT4,6,13
184,17564,2022-05-02,RT4,6,17
185,18560,2022-05-02,RT4,11,15
186,19560,2022-05-02,RT4,11,16
187,18559,2022-05-02,RT4,9,19
188,17563,2022-05-02,RT4,12,19
189,19562,2022-05-02,RT4,8,14
190,17559,2022-05-02,RT4,8,14
191,18558,2022-05-02,RT4,10,20
192,18562,2022-05-02,RT4,12,20
193,18563,2022-05-02,RT4,11,18
194,16563,2022-05-02,RT4,12,18
195,16559,2022-05-02,RT4,12,18
196,16562,2022-05-02,RT4,3,6
197,17562,2022-05-02,RT4,3,6
198,16560,2022-05-02,RT4,3,7
199,17561,2022-05-02,RT4,3,4
200,19563,2022-05-03,RT3,15,29
201,16559,2022-05-03,RT1,17,30
202,18560,2022-05-03,RT1,19,30
203,19562,2022-05-03,RT1,19,30
204,19563,2022-05-03,RT1,15,30
205,17558,2022-05-03,RT1,9,19
206,16558,2022-05-03,RT1,14,19
207,17560,2022-05-03,RT1,19,40
208,19558,2022-05-03,RT1,20,40
209,19560,2022-05-03,RT1,14,26
210,17561,2022-05-03,RT1,16,26
211,16560,2022-05-03,RT1,19,34
212,16561,2022-05-03,RT1,10,18
213,16562,2022-05-03,RT1,14,31
214,16563,2022-05-03,RT1,25,41
215,17559,2022-05-03,RT1,20,32
216,17562,2022-05-03,RT1,10,20
217,17563,2022-05-03,RT1,16,25
218,18558,2022-05-03,RT1,8,15
219,18559,2022-05-03,RT1,18,42
220,18561,2022-05-03,RT1,19,33
221,18562,2022-05-03,RT1,23,38
222,18563,2022-05-03,RT1,13,27
223,19559,2022-05-03,RT1,12,24
224,19561,2022-05-03,RT1,20,36
225,17564,2022-05-03,RT1,6,16
226,19562,2022-05-03,RT2,14,23
227,18563,2022-05-03,RT2,14,29
228,17561,2022-05-03,RT2,23,36
229,17558,2022-05-03,RT2,26,50
230,16562,2022-05-03,RT2,19,43
231,16561,2022-05-03,RT2,16,24
232,16558,2022-05-03,RT2,14,22
233,19560,2022-05-03,RT2,25,38
234,16563,2022-05-03,RT2,24,38
235,16559,2022-05-03,RT2,26,41
236,19559,2022-05-03,RT2,22,41
237,19558,2022-05-03,RT2,16,39
238,17559,2022-05-03,RT2,24,39
239,16560,2022-05-03,RT2,16,34
240,18562,2022-05-03,RT2,22,34
241,18559,2022-05-03,RT2,19,44
242,17563,2022-05-03,RT2,30,44
243,17562,2022-05-03,RT2,15,30
244,18558,2022-05-03,RT2,16,30
245,17564,2022-05-03,RT2,16,40
246,18561,2022-05-03,RT2,25,40
247,18560,2022-05-03,RT2,25,40
248,17560,2022-05-03,RT2,22,45
249,19561,2022-05-03,RT2,21,45
250,19563,2022-05-03,RT2,23,45
251,19562,2022-05-03,RT3,18,29
252,19561,2022-05-03,RT3,14,29
253,18562,2022-05-03,RT3,17,29
254,17558,2022-05-03,RT3,15,27
255,17562,2022-05-03,RT3,12,27
256,19559,2022-05-03,RT3,14,27
257,16559,2022-05-03,RT3,21,32
258,16558,2022-05-03,RT3,5,8
259,18561,2022-05-03,RT3,15,25
260,18560,2022-05-03,RT3,15,24
261,16562,2022-05-03,RT3,8,18
262,16561,2022-05-03,RT3,13,21
263,16563,2022-05-03,RT3,13,20
264,18558,2022-05-03,RT3,13,26
265,18559,2022-05-03,RT3,9,23
266,19558,2022-05-03,RT3,9,21
267,16560,2022-05-03,RT3,10,20
268,17559,2022-05-03,RT3,10,16
269,17563,2022-05-03,RT3,10,16
270,17561,2022-05-03,RT3,12,19
271,19560,2022-05-03,RT3,12,19
272,17560,2022-05-03,RT3,11,25
273,18563,2022-05-03,RT3,11,23
274,17564,2022-05-03,RT3,11,24
275,17562,2022-05-03,RT4,2,6
276,16558,2022-05-03,RT4,2,3
277,19563,2022-05-03,RT4,4,6
278,19561,2022-05-03,RT4,4,7
279,18561,2022-05-03,RT4,5,9
280,16561,2022-05-03,RT4,7,10
281,17560,2022-05-03,RT4,7,13
282,19559,2022-05-03,RT4,1,3
283,17564,2022-05-03,RT4,7,17
284,18560,2022-05-03,RT4,9,15
285,19560,2022-05-03,RT4,10,16
286,18559,2022-05-03,RT4,9,19
287,17563,2022-05-03,RT4,11,19
288,19562,2022-05-03,RT4,9,14
289,17559,2022-05-03,RT4,10,14
290,18558,2022-05-03,RT4,10,20
291,18562,2022-05-03,RT4,12,20
292,18563,2022-05-03,RT4,8,18
293,16563,2022-05-03,RT4,11,18
294,16559,2022-05-03,RT4,11,18
295,16562,2022-05-03,RT4,3,6
296,17558,2022-05-03,RT4,3,6
297,16560,2022-05-03,RT4,3,7
298,19558,2022-05-03,RT4,3,7
299,17561,2022-05-03,RT4,3,4
300,19563,2022-05-04,RT3,15,29
301,18560,2022-05-04,RT1,20,30
302,19562,2022-05-04,RT1,17,30
303,19563,2022-05-04,RT1,14,30
304,17558,2022-05-04,RT1,9,19
305,16558,2022-05-04,RT1,13,19
306,17560,2022-05-04,RT1,22,40
307,19558,2022-05-04,RT1,15,40
308,19560,2022-05-04,RT1,16,26
309,17561,2022-05-04,RT1,15,26
310,16560,2022-05-04,RT1,17,34
311,16561,2022-05-04,RT1,11,18
312,16562,2022-05-04,RT1,16,31
313,16563,2022-05-04,RT1,28,41
314,17559,2022-05-04,RT1,19,32
315,17562,2022-05-04,RT1,9,20
316,17563,2022-05-04,RT1,16,25
317,18558,2022-05-04,RT1,7,15
318,18559,2022-05-04,RT1,18,42
319,18561,2022-05-04,RT1,22,33
320,18562,2022-05-04,RT1,25,38
321,18563,2022-05-04,RT1,16,27
322,19559,2022-05-04,RT1,12,24
323,19561,2022-05-04,RT1,16,36
324,17564,2022-05-04,RT1,7,16
325,19562,2022-05-04,RT2,14,23
326,18563,2022-05-04,RT2,16,29
327,17561,2022-05-04,RT2,21,36
328,17558,2022-05-04,RT2,27,50
329,16562,2022-05-04,RT2,21,43
330,16561,2022-05-04,RT2,15,24
331,16558,2022-05-04,RT2,14,22
332,19560,2022-05-04,RT2,21,38
333,16563,2022-05-04,RT2,23,38
334,16559,2022-05-04,RT2,28,41
335,19559,2022-05-04,RT2,22,41
336,19558,2022-05-04,RT2,18,39
337,17559,2022-05-04,RT2,23,39
338,16560,2022-05-04,RT2,20,34
339,18562,2022-05-04,RT2,22,34
340,18559,2022-05-04,RT2,19,44
341,17563,2022-05-04,RT2,29,44
342,17562,2022-05-04,RT2,11,30
343,18558,2022-05-04,RT2,16,30
344,17564,2022-05-04,RT2,18,40
345,18561,2022-05-04,RT2,25,40
346,18560,2022-05-04,RT2,28,40
347,17560,2022-05-04,RT2,20,45
348,19561,2022-05-04,RT2,21,45
349,19563,2022-05-04,RT2,20,45
350,16559,2022-05-04,RT1,21,30
351,19562,2022-05-04,RT3,20,29
352,19561,2022-05-04,RT3,13,29
353,18562,2022-05-04,RT3,16,29
354,17558,2022-05-04,RT3,12,27
355,17562,2022-05-04,RT3,9,27
356,19559,2022-05-04,RT3,14,27
357,16559,2022-05-04,RT3,19,32
358,16558,2022-05-04,RT3,6,8
359,18561,2022-05-04,RT3,16,25
360,18560,2022-05-04,RT3,17,24
361,17563,2022-05-04,RT3,8,16
362,17564,2022-05-04,RT3,8,24
363,16561,2022-05-04,RT3,14,21
364,17560,2022-05-04,RT3,14,25
365,18558,2022-05-04,RT3,14,26
366,19558,2022-05-04,RT3,9,21
367,16560,2022-05-04,RT3,10,20
368,17561,2022-05-04,RT3,10,19
369,18559,2022-05-04,RT3,10,23
370,16563,2022-05-04,RT3,12,20
371,17559,2022-05-04,RT3,12,16
372,16562,2022-05-04,RT3,11,18
373,18563,2022-05-04,RT3,11,23
374,19560,2022-05-04,RT3,11,19
375,17562,2022-05-04,RT4,2,6
376,19559,2022-05-04,RT4,2,3
377,16558,2022-05-04,RT4,2,3
378,18561,2022-05-04,RT4,4,9
379,16561,2022-05-04,RT4,5,10
380,17560,2022-05-04,RT4,6,13
381,17564,2022-05-04,RT4,9,17
382,18560,2022-05-04,RT4,10,15
383,19560,2022-05-04,RT4,11,16
384,18559,2022-05-04,RT4,8,19
385,17563,2022-05-04,RT4,11,19
386,19562,2022-05-04,RT4,8,14
387,17559,2022-05-04,RT4,9,14
388,18558,2022-05-04,RT4,11,20
389,18562,2022-05-04,RT4,12,20
390,18563,2022-05-04,RT4,8,18
391,16563,2022-05-04,RT4,12,18
392,16559,2022-05-04,RT4,11,18
393,16562,2022-05-04,RT4,3,6
394,17558,2022-05-04,RT4,3,6
395,19563,2022-05-04,RT4,3,6
396,16560,2022-05-04,RT4,3,7
397,19558,2022-05-04,RT4,3,7
398,19561,2022-05-04,RT4,3,7
399,17561,2022-05-04,RT4,3,4
400,16559,2022-05-05,RT1,16,30
401,18560,2022-05-05,RT1,15,30
402,19562,2022-05-05,RT1,19,30
403,19563,2022-05-05,RT1,14,30
404,17558,2022-05-05,RT1,10,19
405,16558,2022-05-05,RT1,12,19
406,17560,2022-05-05,RT1,20,40
407,19558,2022-05-05,RT1,18,40
408,19560,2022-05-05,RT1,18,26
409,17561,2022-05-05,RT1,15,26
410,16560,2022-05-05,RT1,17,34
411,16561,2022-05-05,RT1,13,18
412,16562,2022-05-05,RT1,15,31
413,16563,2022-05-05,RT1,30,41
414,17559,2022-05-05,RT1,21,32
415,17562,2022-05-05,RT1,8,20
416,17563,2022-05-05,RT1,18,25
417,18558,2022-05-05,RT1,8,15
418,18559,2022-05-05,RT1,16,42
419,18561,2022-05-05,RT1,25,33
420,18562,2022-05-05,RT1,24,38
421,18563,2022-05-05,RT1,14,27
422,19559,2022-05-05,RT1,13,24
423,19561,2022-05-05,RT1,17,36
424,17564,2022-05-05,RT1,6,16
425,19562,2022-05-05,RT2,15,23
426,18563,2022-05-05,RT2,14,29
427,17561,2022-05-05,RT2,25,36
428,17558,2022-05-05,RT2,29,50
429,16562,2022-05-05,RT2,20,43
430,16561,2022-05-05,RT2,15,24
431,16558,2022-05-05,RT2,13,22
432,19560,2022-05-05,RT2,27,38
433,16563,2022-05-05,RT2,25,38
434,16559,2022-05-05,RT2,24,41
435,19559,2022-05-05,RT2,23,41
436,19558,2022-05-05,RT2,20,39
437,17559,2022-05-05,RT2,26,39
438,16560,2022-05-05,RT2,19,34
439,18562,2022-05-05,RT2,22,34
440,18559,2022-05-05,RT2,22,44
441,17563,2022-05-05,RT2,28,44
442,17562,2022-05-05,RT2,13,30
443,18558,2022-05-05,RT2,15,30
444,17564,2022-05-05,RT2,18,40
445,18561,2022-05-05,RT2,26,40
446,18560,2022-05-05,RT2,26,40
447,17560,2022-05-05,RT2,20,45
448,19561,2022-05-05,RT2,21,45
449,19563,2022-05-05,RT2,22,45
450,19563,2022-05-05,RT3,14,29
451,19562,2022-05-05,RT3,19,29
452,19561,2022-05-05,RT3,14,29
453,18562,2022-05-05,RT3,18,29
454,17558,2022-05-05,RT3,14,27
455,17562,2022-05-05,RT3,11,27
456,19559,2022-05-05,RT3,14,27
457,16559,2022-05-05,RT3,20,32
458,16558,2022-05-05,RT3,4,8
459,18561,2022-05-05,RT3,15,25
460,18560,2022-05-05,RT3,16,24
461,17560,2022-05-05,RT3,13,25
462,16563,2022-05-05,RT3,14,20
463,16562,2022-05-05,RT3,9,18
464,19558,2022-05-05,RT3,9,21
465,16560,2022-05-05,RT3,10,20
466,17559,2022-05-05,RT3,10,16
467,17563,2022-05-05,RT3,10,16
468,18559,2022-05-05,RT3,10,23
469,16561,2022-05-05,RT3,12,21
470,18558,2022-05-05,RT3,12,26
471,19560,2022-05-05,RT3,12,19
472,17564,2022-05-05,RT3,12,24
473,17561,2022-05-05,RT3,11,19
474,18563,2022-05-05,RT3,11,23
475,19559,2022-05-05,RT4,2,3
476,16558,2022-05-05,RT4,2,3
477,16560,2022-05-05,RT4,4,7
478,19561,2022-05-05,RT4,4,7
479,18561,2022-05-05,RT4,5,9
480,16561,2022-05-05,RT4,6,10
481,17560,2022-05-05,RT4,6,13
482,17564,2022-05-05,RT4,7,17
483,18560,2022-05-05,RT4,10,15
484,19560,2022-05-05,RT4,10,16
485,18559,2022-05-05,RT4,8,19
486,17563,2022-05-05,RT4,12,19
487,19562,2022-05-05,RT4,9,14
488,17559,2022-05-05,RT4,8,14
489,18558,2022-05-05,RT4,11,20
490,18562,2022-05-05,RT4,12,20
491,18563,2022-05-05,RT4,10,18
492,16563,2022-05-05,RT4,12,18
493,16559,2022-05-05,RT4,13,18
494,16562,2022-05-05,RT4,3,6
495,17558,2022-05-05,RT4,3,6
496,17562,2022-05-05,RT4,3,6
497,19563,2022-05-05,RT4,3,6
498,19558,2022-05-05,RT4,3,7
499,17561,2022-05-05,RT4,3,4
500,16559,2022-05-06,RT1,21,30
501,18560,2022-05-06,RT1,20,30
502,19562,2022-05-06,RT1,18,30
503,19563,2022-05-06,RT1,15,30
504,17558,2022-05-06,RT1,9,19
505,16558,2022-05-06,RT1,10,19
506,17560,2022-05-06,RT1,18,40
507,19558,2022-05-06,RT1,18,40
508,19560,2022-05-06,RT1,17,26
509,17561,2022-05-06,RT1,16,26
510,16560,2022-05-06,RT1,19,34
511,16561,2022-05-06,RT1,12,18
512,16562,2022-05-06,RT1,14,31
513,16563,2022-05-06,RT1,23,41
514,17559,2022-05-06,RT1,19,32
515,17562,2022-05-06,RT1,8,20
516,17563,2022-05-06,RT1,14,25
517,18558,2022-05-06,RT1,7,15
518,18559,2022-05-06,RT1,18,42
519,18561,2022-05-06,RT1,23,33
520,18562,2022-05-06,RT1,24,38
521,18563,2022-05-06,RT1,12,27
522,19559,2022-05-06,RT1,14,24
523,19561,2022-05-06,RT1,20,36
524,17564,2022-05-06,RT1,7,16
525,19562,2022-05-06,RT2,18,23
526,18563,2022-05-06,RT2,15,29
527,17561,2022-05-06,RT2,20,36
528,17558,2022-05-06,RT2,29,50
529,16562,2022-05-06,RT2,24,43
530,16561,2022-05-06,RT2,14,24
531,16558,2022-05-06,RT2,15,22
532,19560,2022-05-06,RT2,22,38
533,16563,2022-05-06,RT2,27,38
534,16559,2022-05-06,RT2,23,41
535,19559,2022-05-06,RT2,20,41
536,19558,2022-05-06,RT2,14,39
537,17559,2022-05-06,RT2,25,39
538,16560,2022-05-06,RT2,18,34
539,18562,2022-05-06,RT2,26,34
540,18559,2022-05-06,RT2,20,44
541,17563,2022-05-06,RT2,28,44
542,17562,2022-05-06,RT2,12,30
543,18558,2022-05-06,RT2,17,30
544,17564,2022-05-06,RT2,18,40
545,18561,2022-05-06,RT2,23,40
546,18560,2022-05-06,RT2,24,40
547,17560,2022-05-06,RT2,22,45
548,19561,2022-05-06,RT2,24,45
549,19563,2022-05-06,RT2,23,45
550,19563,2022-05-06,RT3,14,29
551,19562,2022-05-06,RT3,20,29
552,19561,2022-05-06,RT3,13,29
553,18562,2022-05-06,RT3,21,29
554,17558,2022-05-06,RT3,12,27
555,17562,2022-05-06,RT3,10,27
556,19559,2022-05-06,RT3,13,27
557,16559,2022-05-06,RT3,20,32
558,16558,2022-05-06,RT3,5,8
559,18561,2022-05-06,RT3,17,25
560,16563,2022-05-06,RT3,15,20
561,17561,2022-05-06,RT3,13,19
562,19560,2022-05-06,RT3,13,19
563,18558,2022-05-06,RT3,14,26
564,18560,2022-05-06,RT3,14,24
565,16562,2022-05-06,RT3,9,18
566,18559,2022-05-06,RT3,9,23
567,17563,2022-05-06,RT3,10,16
568,19558,2022-05-06,RT3,10,21
569,17564,2022-05-06,RT3,10,24
570,16561,2022-05-06,RT3,12,21
571,17560,2022-05-06,RT3,12,25
572,18563,2022-05-06,RT3,12,23
573,16560,2022-05-06,RT3,11,20
574,17559,2022-05-06,RT3,11,16
575,17562,2022-05-06,RT4,2,6
576,19559,2022-05-06,RT4,2,3
577,16558,2022-05-06,RT4,2,3
578,16560,2022-05-06,RT4,4,7
579,18561,2022-05-06,RT4,4,9
580,17560,2022-05-06,RT4,5,13
581,16561,2022-05-06,RT4,6,10
582,17564,2022-05-06,RT4,7,17
583,18560,2022-05-06,RT4,9,15
584,19560,2022-05-06,RT4,9,16
585,18559,2022-05-06,RT4,9,19
586,17563,2022-05-06,RT4,12,19
587,19562,2022-05-06,RT4,8,14
588,17559,2022-05-06,RT4,8,14
589,18558,2022-05-06,RT4,11,20
590,18562,2022-05-06,RT4,14,20
591,18563,2022-05-06,RT4,9,18
592,16563,2022-05-06,RT4,11,18
593,16559,2022-05-06,RT4,11,18
594,16562,2022-05-06,RT4,3,6
595,17558,2022-05-06,RT4,3,6
596,19563,2022-05-06,RT4,3,6
597,19558,2022-05-06,RT4,3,7
598,19561,2022-05-06,RT4,3,7
599,17561,2022-05-06,RT4,3,4
600,19563,2022-05-07,RT3,20,29
601,18560,2022-05-07,RT1,28,30
602,19562,2022-05-07,RT1,28,30
603,19563,2022-05-07,RT1,21,30
604,17558,2022-05-07,RT1,15,19
605,16558,2022-05-07,RT1,17,19
606,17560,2022-05-07,RT1,31,40
607,19558,2022-05-07,RT1,22,40
608,19560,2022-05-07,RT1,26,26
609,17561,2022-05-07,RT1,22,26
610,16560,2022-05-07,RT1,26,34
611,16561,2022-05-07,RT1,15,18
612,16562,2022-05-07,RT1,25,31
613,16563,2022-05-07,RT1,37,41
614,17559,2022-05-07,RT1,29,32
615,17562,2022-05-07,RT1,13,20
616,17563,2022-05-07,RT1,21,25
617,18558,2022-05-07,RT1,11,15
618,18559,2022-05-07,RT1,22,42
619,18561,2022-05-07,RT1,28,33
620,18562,2022-05-07,RT1,33,38
621,18563,2022-05-07,RT1,20,27
622,19559,2022-05-07,RT1,18,24
623,19561,2022-05-07,RT1,26,36
624,17564,2022-05-07,RT1,9,16
625,19562,2022-05-07,RT2,22,23
626,18563,2022-05-07,RT2,20,29
627,17561,2022-05-07,RT2,30,36
628,17558,2022-05-07,RT2,39,50
629,16562,2022-05-07,RT2,31,43
630,16561,2022-05-07,RT2,21,24
631,16558,2022-05-07,RT2,18,22
632,19560,2022-05-07,RT2,33,38
633,16563,2022-05-07,RT2,37,38
634,16559,2022-05-07,RT2,36,41
635,19559,2022-05-07,RT2,28,41
636,19558,2022-05-07,RT2,23,39
637,17559,2022-05-07,RT2,33,39
638,16560,2022-05-07,RT2,24,34
639,18562,2022-05-07,RT2,28,34
640,18559,2022-05-07,RT2,28,44
641,17563,2022-05-07,RT2,39,44
642,17562,2022-05-07,RT2,16,30
643,18558,2022-05-07,RT2,22,30
644,17564,2022-05-07,RT2,21,40
645,18561,2022-05-07,RT2,40,40
646,18560,2022-05-07,RT2,38,40
647,17560,2022-05-07,RT2,31,45
648,19561,2022-05-07,RT2,34,45
649,19563,2022-05-07,RT2,31,45
650,16559,2022-05-07,RT1,28,30
651,19562,2022-05-07,RT3,26,29
652,19561,2022-05-07,RT3,22,29
653,18562,2022-05-07,RT3,29,29
654,17558,2022-05-07,RT3,19,27
655,17562,2022-05-07,RT3,16,27
656,19559,2022-05-07,RT3,20,27
657,16559,2022-05-07,RT3,28,32
658,16558,2022-05-07,RT3,7,8
659,17560,2022-05-07,RT3,18,25
660,18561,2022-05-07,RT3,21,25
661,16561,2022-05-07,RT3,20,21
662,16563,2022-05-07,RT3,17,20
663,17561,2022-05-07,RT3,19,19
664,18558,2022-05-07,RT3,19,26
665,18560,2022-05-07,RT3,20,24
666,18563,2022-05-07,RT3,18,23
667,19560,2022-05-07,RT3,16,19
668,17563,2022-05-07,RT3,15,16
669,18559,2022-05-07,RT3,15,23
670,17564,2022-05-07,RT3,15,24
671,16560,2022-05-07,RT3,14,20
672,16562,2022-05-07,RT3,14,18
673,17559,2022-05-07,RT3,14,16
674,19558,2022-05-07,RT3,12,21
675,19559,2022-05-07,RT4,2,3
676,16562,2022-05-07,RT4,4,6
677,19558,2022-05-07,RT4,4,7
678,17561,2022-05-07,RT4,4,4
679,16560,2022-05-07,RT4,5,7
680,17558,2022-05-07,RT4,5,6
681,19561,2022-05-07,RT4,5,7
682,19563,2022-05-07,RT4,5,6
683,16561,2022-05-07,RT4,9,10
684,17560,2022-05-07,RT4,10,13
685,18561,2022-05-07,RT4,8,9
686,17564,2022-05-07,RT4,12,17
687,18560,2022-05-07,RT4,14,15
688,19560,2022-05-07,RT4,16,16
689,18559,2022-05-07,RT4,13,19
690,17563,2022-05-07,RT4,16,19
691,19562,2022-05-07,RT4,13,14
692,17559,2022-05-07,RT4,14,14
693,18558,2022-05-07,RT4,15,20
694,18562,2022-05-07,RT4,19,20
695,18563,2022-05-07,RT4,12,18
696,16563,2022-05-07,RT4,15,18
